genes	v3_locus
GRMZM2G008093	tubg3
GRMZM2G008122	mha6
GRMZM2G008166	bzip125
GRMZM2G008175	pco125757
GRMZM2G008216	cda2
GRMZM2G008226	trps4
GRMZM2G008234	ereb114
GRMZM2G008247	glu2
GRMZM2G008259	alf18
GRMZM2G008263	gbss1
GRMZM2G008271	bap1a
GRMZM2G008273	pco080956
GRMZM2G008286	hb86
GRMZM2G008290	umc2181
GRMZM2G008326	IDP2364
GRMZM2G008327	cdc2
GRMZM2G008356	abi22
GRMZM2G008367	GRMZM2G008367
GRMZM2G008369	bnlg1434
GRMZM2G008374	nactf24
GRMZM2G008403	bap1b
GRMZM2G008425	hdac7
GRMZM2G008464	nad3
GRMZM2G008501	cl40803_1a
GRMZM2G008558	gbptf10
GRMZM2G008593	pme13
GRMZM2G008623	AY109645
GRMZM2G008638	umc1789
GRMZM2G008651	cle20
GRMZM2G008687	umc1710
GRMZM2G008691	bhlh36
GRMZM2G008728	pco142427
GRMZM2G008792	ckx12
GRMZM2G008819	GRMZM2G008819
GRMZM2G008864	IDP723
GRMZM2G008898	bhlh73
GRMZM2G008913	zp1
GRMZM2G008919	pco097999
GRMZM2G009014	TIDP3353
GRMZM2G009019	mmp140
GRMZM2G009025	cel21
GRMZM2G009048	psan2
GRMZM2G009060	glk26
GRMZM2G009070	murE1
GRMZM2G009196	pco081127
GRMZM2G009208	rmr2
GRMZM2G009223	Zm00001d021653
GRMZM2G009232	IDP739
GRMZM2G009320	cl24572_1
GRMZM2G009326	IDP622
GRMZM2G009353	hak12
GRMZM2G009359	es4
GRMZM2G009387	umc2545
GRMZM2G009406	dof2
GRMZM2G009412	rpl44
GRMZM2G009443	cip1
GRMZM2G009448	grp2
GRMZM2G009465	csu1138
GRMZM2G009478	bhlh157
GRMZM2G009479	lox11
GRMZM2G009506	sln1
GRMZM2G009530	gata9
GRMZM2G009571	si486055b11
GRMZM2G009598	ereb159
GRMZM2G009724	mab20
GRMZM2G009779	pht8
GRMZM2G009785	sxd1
GRMZM2G009792	aasr10
GRMZM2G009800	pht12
GRMZM2G009808	aco3
GRMZM2G009845	imp2
GRMZM2G009888	si605090c10
GRMZM2G009892	nactf32
GRMZM2G009895	pco090181a
GRMZM2G009928	IDP532
GRMZM2G009958	TIDP3715
GRMZM2G009994	cl11096_1
GRMZM2G009995	pco081548
GRMZM2G010034	mmp172
GRMZM2G010037	si707100e12
GRMZM2G010044	PCO109372
GRMZM2G010046	smk6
GRMZM2G010056	umc2082
GRMZM2G010085	chr126b
GRMZM2G010093	cbl6
GRMZM2G010100	ereb142
GRMZM2G010152	hma11
GRMZM2G010196	ycf54 
GRMZM2G010221	cyp15
GRMZM2G010251	nrt1
GRMZM2G010257	arpp2a-3
GRMZM2G010280	nrt2
GRMZM2G010290	dof23
GRMZM2G010298	cl12955_1
GRMZM2G010302	dip1
GRMZM2G010333	vq25
GRMZM2G010342	cl48276_1
GRMZM2G010353	vp8
GRMZM2G010356	tps17
GRMZM2G010357	umc1463
GRMZM2G010362	cdo98b
GRMZM2G010447	umc1985
GRMZM2G010491	IDP1421
GRMZM2G010551	IDP176
GRMZM2G010555	GRMZM2G010555
GRMZM2G010649	pco083693
GRMZM2G010669	zmm1
GRMZM2G010693	pco126676
GRMZM2G010783	pco074618
GRMZM2G010797	cl32758_1
GRMZM2G010834	pco145520
GRMZM2G010855	prh5
GRMZM2G010861	pco105010
GRMZM2G010868	plt2
GRMZM2G010871	hsftf24
GRMZM2G010884	umc1267
GRMZM2G010920	glk18
GRMZM2G010929	hb26
GRMZM2G010937	fim1
GRMZM2G010960	limtf12
GRMZM2G010973	si707003b08b
GRMZM2G010991	IDP469
GRMZM2G011098	pco136841
GRMZM2G011110	ereb13
GRMZM2G011119	bzip63
GRMZM2G011129	nbp1
GRMZM2G011136	csu625
GRMZM2G011151	tps21
GRMZM2G011173	pco071866
GRMZM2G011213	pco079267
GRMZM2G011222	tm18
GRMZM2G011236	ereb62
GRMZM2G011357	id1
GRMZM2G011385	lbd13
GRMZM2G011401	tmm1
GRMZM2G011422	myb108
GRMZM2G011469	sro3
GRMZM2G011491	pco114320
GRMZM2G011513	dba3
GRMZM2G011518	cl33711_2
GRMZM2G011553	Zm00001d039279
GRMZM2G011588	hb33
GRMZM2G011590	si829007e03
GRMZM2G011592	cax3
GRMZM2G011598	nactf44
GRMZM2G011624	hagtf19
GRMZM2G011662	pco110419
GRMZM2G011746	y9
GRMZM2G011789	lec1
GRMZM2G011832	dof32
GRMZM2G011858	fnr2
GRMZM2G011932	gbf1
GRMZM2G011947	gras18
GRMZM2G012012	es1
GRMZM2G012031	AY104465
GRMZM2G012052	ubi7
GRMZM2G012088	pco079863
GRMZM2G012123	bnlg1615
GRMZM2G012160	psei2
GRMZM2G012174	ppr102
GRMZM2G012224	umc1118
GRMZM2G012262	whirly2
GRMZM2G012324	IDP80
GRMZM2G012326	AY110389
GRMZM2G012328	pme6
GRMZM2G012391	umc1612
GRMZM2G012397	psa6
GRMZM2G012413	TIDP3069
GRMZM2G012416	GRMZM2G012416
GRMZM2G012453	bnlg1615
GRMZM2G012501	IDP2385
GRMZM2G012566	AY109929
GRMZM2G012584	gpm316
GRMZM2G012611	mmp22
GRMZM2G012654	cadtfr16
GRMZM2G012690	cl14665_2
GRMZM2G012717	col10
GRMZM2G012724	wrky83
GRMZM2G012758	TIDP3265
GRMZM2G012806	uaz232b(sci)
GRMZM2G012923	pza00270
GRMZM2G012928	si605061e03b
GRMZM2G012966	lyce1
GRMZM2G012970	mmp179
GRMZM2G012999	mterf22
GRMZM2G013002	expb8
GRMZM2G013016	gras7
GRMZM2G013042	cl9439_1
GRMZM2G013128	umc15a
GRMZM2G013152	si486014c02
GRMZM2G013200	umc2291
GRMZM2G013201	umc1931
GRMZM2G013214	aldh11
GRMZM2G013236	cipk23
GRMZM2G013271	ofp22
GRMZM2G013302	ofp21
GRMZM2G013318	pco114058
GRMZM2G013324	gpx11
GRMZM2G013331	umc2092
GRMZM2G013378	bsdtf2
GRMZM2G013391	wrky111
GRMZM2G013398	col6
GRMZM2G013430	sat2
GRMZM2G013461	psei4
GRMZM2G013463	smr1
GRMZM2G013581	myb62
GRMZM2G013600	IDP1468
GRMZM2G013607	IDP1969
GRMZM2G013617	hb38
GRMZM2G013634	IDP1464
GRMZM2G013657	dwil1
GRMZM2G013663	arftf19
GRMZM2G013671	expb5
GRMZM2G013677	cl67235_-1a
GRMZM2G013688	bhlh109
GRMZM2G013726	a4
GRMZM2G013750	pco111061
GRMZM2G013794	sdg128
GRMZM2G013811	pco094517
GRMZM2G013821	hmg2
GRMZM2G013890	pco063423
GRMZM2G013908	pco097658
GRMZM2G013949	IDP867
GRMZM2G013957	AY110240
GRMZM2G013981	pza02480
GRMZM2G013986	pco096605(61)
GRMZM2G014055	scmv1
GRMZM2G014066	din1
GRMZM2G014076	pdi5
GRMZM2G014119	ubi3
GRMZM2G014154	hp2
GRMZM2G014180	pco081507
GRMZM2G014193	pap3
GRMZM2G014240	vpp6
GRMZM2G014295	mmp67
GRMZM2G014303	umc132a(chk)
GRMZM2G014346	hb113
GRMZM2G014376	sad1
GRMZM2G014382	nad5 (homolog)
GRMZM2G014387	pco096827
