GeneID,ZmPep3,antiZm3
GRMZM2G103937,1.336274411,-1.466669368
GRMZM2G026969,1.329658808,-1.452846065
GRMZM2G057412,1.326719614,-1.451154077
GRMZM5G863602,1.326631222,-1.450772699
GRMZM2G043799,1.325384186,-1.447583603
GRMZM2G118737,1.325323069,-1.446263886
GRMZM2G089958,1.325116625,-1.442966897
GRMZM2G134930,1.315714354,-1.44248869
GRMZM2G032896,1.252989206,-1.441289118
GRMZM2G149428,0,-1.439678315
GRMZM2G038301,0,-1.435803048
GRMZM2G092780,0,-1.435534953
GRMZM2G181546,0,-1.433923746
GRMZM2G318635,0,-1.432345917
GRMZM2G062738,0,-1.425028478
GRMZM2G097283,0,-1.423805058
GRMZM2G086269,0,-1.412347771
GRMZM2G337196,0,-1.410108855
GRMZM2G091233,0,-1.403315543
GRMZM2G178880,0,-1.392158714
GRMZM5G848696,0,-1.388805268
GRMZM2G077214,0,-1.38391187
GRMZM2G068566,0,-1.379999269
GRMZM2G083128,0,-1.358913431
GRMZM2G131087,0,-1.337635975
GRMZM2G105327,0,-1.335419279
GRMZM5G844562,0,-1.282799862
GRMZM2G396212,0,-1.244940043
GRMZM2G075676,0,0
GRMZM2G005269,0,0
GRMZM2G170452,0,0
GRMZM5G829291,0,0
GRMZM2G083016,0,0
GRMZM2G342246,0,0
GRMZM2G025659,0,0
GRMZM2G122053,0,0
AC210303.3_FG001,0,0
GRMZM2G036983,0,0
GRMZM2G122324,0,0
GRMZM2G078269,0,0
GRMZM2G383088,0,0
GRMZM2G546010,0,0
GRMZM2G135283,0,0
GRMZM2G092123,0,0
GRMZM2G039345,0,0
GRMZM2G418206,0,0
GRMZM2G074103,0,0
GRMZM2G092497,0,0
GRMZM2G066672,0,0
GRMZM5G873519,0,0
GRMZM2G085885,0,0
GRMZM2G343149,0,0
GRMZM2G444034,0,0
GRMZM2G131708,0,0
GRMZM2G090271,0,0
GRMZM2G094072,0,0
GRMZM2G103250,0,0
GRMZM2G023711,0,0
GRMZM2G032266,0,0
GRMZM2G106917,0,0
GRMZM2G154397,0,0
GRMZM2G389582,0,0
GRMZM2G140694,0,0
GRMZM2G167613,0,0
GRMZM2G136857,0,0
GRMZM2G128504,0,0
GRMZM2G357972,0,0
GRMZM2G351382,0,0
GRMZM2G150024,0,0
GRMZM2G389173,0,0
GRMZM2G043075,0,0
GRMZM2G058081,0,0
AC207628.4_FG011,0,0
AC217975.3_FG001,0,0
GRMZM2G125823,0,0
GRMZM2G036203,0,0
GRMZM2G073755,0,0
GRMZM2G576460,0,0
GRMZM2G485184,0,0
GRMZM2G022181,0,0
GRMZM2G144097,0,0
GRMZM2G159711,0,0
GRMZM2G110027,0,0
AC234526.1_FG005,0,0
GRMZM2G337594,0,0
GRMZM2G165901,0,0
GRMZM2G059700,0,0
GRMZM2G040878,-1.244940043,0
GRMZM2G157207,-1.282799862,0
GRMZM2G322328,-1.335419279,0
GRMZM2G056686,-1.337635975,0
GRMZM2G046474,-1.358913431,0
GRMZM2G109221,-1.379999269,0
GRMZM2G377761,-1.38391187,0
GRMZM2G073743,-1.388805268,0
GRMZM2G052658,-1.392158714,0
GRMZM2G062471,-1.403315543,0
GRMZM2G118979,-1.410108855,0
GRMZM2G098973,-1.412347771,0
GRMZM2G113093,-1.423805058,0
GRMZM2G129208,-1.425028478,0
GRMZM2G145527,-1.432345917,0
GRMZM2G099367,-1.433923746,0
GRMZM2G038284,-1.435534953,0
GRMZM5G825759,-1.435803048,0
GRMZM2G036113,-1.439678315,0
GRMZM2G069092,-1.441289118,1.252989206
GRMZM2G033971,-1.44248869,1.315714354
GRMZM2G085153,-1.442966897,1.325116625
GRMZM2G026371,-1.446263886,1.325323069
GRMZM2G018403,-1.447583603,1.325384186
GRMZM2G088320,-1.450772699,1.326631222
GRMZM2G072041,-1.451154077,1.326719614
GRMZM2G011129,-1.452846065,1.329658808
GRMZM2G059083,-1.466669368,1.336274411
GRMZM2G070723,-1.473855026,1.33668229
GRMZM2G351259,-1.487106951,1.360278703
GRMZM2G134067,-1.489818371,1.385710494
GRMZM2G342685,-1.490647514,1.394397023
GRMZM2G027663,-1.492379972,1.411726058
GRMZM2G080530,-1.492790556,1.42428955
GRMZM2G009320,-1.493200173,1.431715695
GRMZM5G862107,-1.498075065,1.438746243
GRMZM2G041534,-1.498168456,1.439162934
GRMZM2G418194,-1.499568149,1.444007166
GRMZM2G480516,-1.50019626,1.444090896
GRMZM2G466780,-1.500732208,1.444855628
GRMZM2G113244,-1.506226471,1.445519736
GRMZM2G005170,-1.508655811,1.449556596
GRMZM2G098346,-1.513639982,1.450353759
GRMZM2G061876,-1.522853431,1.452978892
GRMZM2G059252,-1.524334506,1.472148446
GRMZM2G010196,-1.525163133,1.473265446
GRMZM2G068590,-1.525759759,1.475029909
GRMZM2G088965,-1.530451723,1.476187714
GRMZM2G072744,-1.531172807,1.476398416
GRMZM2G124321,-1.531251998,1.4766641
GRMZM2G084407,-1.532499779,1.479701414
GRMZM2G465806,-1.534353871,1.481450998
GRMZM2G051059,-1.535306489,1.486742537
GRMZM2G040300,-1.54253547,1.496047967
AC205376.4_FG003,-1.545316518,1.497365812
GRMZM2G443715,-1.547876434,1.498344324
GRMZM2G101875,-1.550027512,1.499265327
GRMZM2G062488,-1.554430255,1.50651577
GRMZM2G121612,-1.555236525,1.514225847
GRMZM2G159250,-1.557927594,1.514737999
GRMZM2G057820,-1.558015584,1.515184266
GRMZM2G438524,-1.55989004,1.516446546
GRMZM2G068506,-1.560031698,1.517770951
GRMZM2G104024,-1.560582705,1.520398572
GRMZM2G122793,-1.561289469,1.53146158
AC198418.3_FG005,-1.563191912,1.534226623
GRMZM2G701207,-1.567679245,1.541221915
GRMZM2G031169,-1.577370271,1.54484347
GRMZM5G842071,-1.577491884,1.547716216
GRMZM2G384528,-1.577592851,1.549334571
