GeneID,1H,4H,6H,24H
GRMZM2G075247,0,0,3.994408229,0
GRMZM2G075250,0,0,0,0.944468884
GRMZM2G075315,0,2.275353262,3.575448194,5.527706618
GRMZM2G075333,1.969575972,2.64831052,2.502144296,2.360652343
GRMZM2G075438,1.111403991,0,0.631887763,0
GRMZM2G075496,2.796257506,1.980503891,1.725062473,1.540098374
GRMZM2G075502,0,0,-0.728974459,-1.159116848
GRMZM2G075513,2.023010813,2.22618962,1.898909063,1.694412358
GRMZM2G075528,1.306928199,1.107313898,0.978248178,0
GRMZM2G075562,0,-0.903062015,-0.681308548,0
GRMZM2G075624,0,0,0.786210094,0.582008772
GRMZM2G075630,0.645858628,0.956124608,1.282732827,0
GRMZM2G075637,0,0.650394218,0.682797409,0
GRMZM2G075655,0,0.787702433,1.041674068,0.905394622
GRMZM2G075676,0,-0.769135206,-0.963804564,-0.816893428
GRMZM2G075680,0,0.923547432,0.768673422,0.611802594
GRMZM2G075683,1.245667414,1.075900317,0.757085347,0.637823598
GRMZM2G075701,1.00600974,0.598142655,0,0
GRMZM2G075712,3.152904417,2.404409398,2.292412401,2.300324316
GRMZM2G075719,0.836652594,0.887972594,1.043414688,0.694096091
GRMZM2G075828,3.111582389,2.332441239,2.864082652,2.719084482
GRMZM2G075844,0,0.551266453,0.851925526,0.621227896
GRMZM2G075884,0,-0.881353853,-1.2976269,-0.660065868
GRMZM2G075974,1.46786778,0,0,0
GRMZM2G076029,0,0.885134487,0,0.742983145
GRMZM2G076075,0,0,0,0.691418456
GRMZM2G076152,0,-1.270481793,-1.349610384,0
GRMZM2G076212,0,0,0,0.792152634
GRMZM2G076239,-1.644088401,0,-0.967094156,0
GRMZM2G076263,-0.706290834,-0.632371115,-1.211307184,-1.401407339
GRMZM2G076370,-1.958243487,-1.497194993,-2.52437172,-2.499502195
GRMZM2G076387,1.331724718,1.216541144,0.999549983,0.9908477
GRMZM2G076394,0,0,0,1.901551888
GRMZM2G076417,-1.68036012,0,0,-1.725475671
GRMZM2G076544,-0.558137224,-0.681566586,-0.631464921,-0.744353623
GRMZM2G076602,0,-0.823037693,-1.011392316,-0.818456652
GRMZM2G076631,0,0,-0.97591764,-1.599177503
GRMZM2G076723,2.234863383,0,0,0
GRMZM2G076771,0,-0.901217911,-1.640119638,-1.96973332
GRMZM2G076798,0,0,0,-0.806217061
GRMZM2G076826,-0.823902267,-0.730295262,0,0
GRMZM2G076844,1.62087874,0,0,0
GRMZM2G076868,3.104149243,2.286365824,0,0
GRMZM2G076885,0,0,1.077556714,0
GRMZM2G076896,2.805665472,3.117651613,3.207587423,2.989020477
GRMZM2G076943,-1.128493978,-2.267936809,-1.69213395,-2.204756739
GRMZM2G076950,-0.630205052,-0.758502656,-0.887461106,-0.546958989
GRMZM2G076972,3.05431189,0,0,0
GRMZM2G076987,0,-1.204899352,-1.454475259,-1.29665575
GRMZM2G076989,-0.774532386,-0.587440551,-2.146911616,-2.060203668
GRMZM2G077002,-1.132256503,-0.617093134,0,0
GRMZM2G077024,-0.693302854,-0.933698257,-0.937049681,-0.783979312
GRMZM2G077036,1.087866809,0.524828613,0,0
GRMZM2G077054,0,0.955993361,0.780561112,0.668670526
GRMZM2G077127,0,-1.112822818,-1.256528827,-1.283186265
GRMZM2G077181,0,0,-0.886445343,-1.308929287
GRMZM2G077187,2.995617083,2.297652571,2.813427227,2.417022659
GRMZM2G077206,0,-0.643077746,-1.064109682,-1.362737289
GRMZM2G077208,0,0.580907462,0.679640707,0
GRMZM2G077278,-0.857428121,0,0,0
GRMZM2G077299,0,0,0.892549151,1.317947527
GRMZM2G077307,0,-1.086729697,-1.089674337,-0.889931842
GRMZM2G077316,2.030000472,3.616628376,3.514231288,3.198908424
GRMZM2G077333,0,0,-0.844451513,-1.226078332
GRMZM2G077356,0.840929645,0,0,-1.511852266
GRMZM2G077361,0,-0.62427216,-0.832744722,-0.777087559
GRMZM2G077401,2.091920546,2.165070745,1.44429202,0.987707291
GRMZM2G077415,0,0,0.825374037,1.204797078
GRMZM2G077436,0,0,-0.921810059,-1.271941768
GRMZM2G077463,0,0.875018807,1.182240586,0.883711999
GRMZM2G077486,-0.688095406,-0.897392365,-0.852209929,-0.783751666
GRMZM2G077596,0,0.813539234,0,0.856760481
GRMZM2G077621,-1.162284208,-0.921313909,-1.354814709,-0.896562853
GRMZM2G077632,-0.590905293,-1.119304605,-0.993107516,-0.923206618
GRMZM2G077655,0,1.010486182,0,0.762195414
GRMZM2G077669,2.940760753,2.808893342,2.723013115,2.501438063
GRMZM2G077673,0,0.553091937,0.649222719,1.271784348
GRMZM2G077708,0,0,0,1.422508946
GRMZM2G077752,1.280573534,1.341381615,1.837561715,2.082361949
GRMZM2G077755,-1.190561492,-1.922961547,-2.390243155,-1.478151061
