GeneID,ZmPep3
GRMZM2G568636,-2.211921963
GRMZM2G004523,-2.212741876
GRMZM2G306345,-2.218485331
GRMZM2G150337,-2.222136124
GRMZM2G043162,-2.228597558
GRMZM2G345493,-2.246682527
GRMZM2G074393,-2.248832882
GRMZM5G889520,-2.255111644
GRMZM2G161673,-2.25778468
AC203535.4_FG004,-2.259861239
GRMZM2G051984,-2.264152887
GRMZM5G855361,-2.264768815
GRMZM5G862663,-2.270681326
GRMZM2G472852,-2.282151168
GRMZM2G139250,-2.282203197
GRMZM2G006363,-2.284801763
GRMZM5G889372,-2.286965056
GRMZM2G149317,-2.291487149
GRMZM2G050946,-2.306068871
GRMZM2G165255,-2.306109254
GRMZM2G344205,-2.309655024
GRMZM2G072808,-2.318536713
GRMZM2G048121,-2.325486486
GRMZM2G137868,-2.333268993
GRMZM2G143917,-2.334945172
GRMZM2G081114,-2.335502851
GRMZM2G081462,-2.339204043
GRMZM2G073351,-2.342585683
GRMZM2G076989,-2.343241677
GRMZM2G028665,-2.351147043
GRMZM2G135029,-2.353313817
GRMZM2G478212,-2.353709484
GRMZM2G471904,-2.359318506
GRMZM2G021617,-2.360316401
GRMZM2G071450,-2.36314081
AC194970.5_FG001,-2.365967191
GRMZM2G129209,-2.379400362
GRMZM2G003182,-2.381504528
GRMZM2G122853,-2.385031736
GRMZM2G097967,-2.397288156
GRMZM2G179292,-2.40432349
GRMZM2G353024,-2.405073655
GRMZM2G081803,-2.415254326
GRMZM2G104783,-2.416906417
GRMZM2G162614,-2.424407672
GRMZM2G105644,-2.429466366
GRMZM2G039996,-2.433605093
GRMZM2G159908,-2.433735022
GRMZM2G080107,-2.436974059
GRMZM2G144196,-2.440049983
GRMZM2G026614,-2.450994853
GRMZM2G103101,-2.453418798
GRMZM2G122327,-2.459608505
GRMZM2G337113,-2.46703994
GRMZM2G441888,-2.467467734
GRMZM2G081955,-2.471448672
GRMZM2G070605,-2.475534157
GRMZM5G826801,-2.492644344
GRMZM2G040145,-2.499181798
GRMZM2G098520,-2.499455699
GRMZM2G156472,-2.500088998
GRMZM2G010884,-2.512754548
GRMZM2G328908,-2.513926724
GRMZM5G845611,-2.526340364
GRMZM2G139786,-2.5380262
GRMZM2G113033,-2.541737106
GRMZM2G085019,-2.543195293
GRMZM2G113349,-2.543834194
GRMZM5G891187,-2.54592575
GRMZM2G077333,-2.547288121
GRMZM2G091825,-2.552954458
